Название вакансии,URL,Название компании,Описание
Full-stack разработчик Django / Python,https://hh.ru/vacancy/34169753?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Смартекс,"Общение в команде: JIRA, Slack, Confluence. Подробные спецификации и макеты задач, отлаженный рабочий процесс аналитики бизнес-требований и контроля качества. У вас есть средние знания CSS / JavaScript на уровне простой верстки и jQuery. Вы умеете работать удаленно и при этом..."
Python-разработчик / Data Engineer,https://hh.ru/vacancy/34103918?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО РАБЛЗ,"Быстрая разработка прототипов решений. Поддержка data scientist’ов и аналитиков данных (также работают на Python) в разработческих задачах. Опыт промышленной разработкой на python (pytest, CI/CD, git, метаклассами и др.). Опыт работы с различными хранилищами данных и БД..."
Ведущий разработчик базы данных (PostgreSQL),https://hh.ru/vacancy/33006065?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Comagic,"Разработка архитектуры БД (нагруженные многопоточные realtime приложения). Написание хранимых процедур. Оптимизация работы БД (отчеты по таблицам с миллионами записей). Знание PostgreSQL или Oracle. Знание pl/pgsql. Знание Python, Shell – приветствуется. Умение работать в команде, высокий уровень самоорганизации, быстрая обучаемость."
Reverse Engineer / Вирусный аналитик / Реверc инженер,https://hh.ru/vacancy/34166827?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,АО АСТ,"Анализировать безопасность протоколов и программного обеспечения. Разрабатывать средства проверки защищенности и концептов имитации атак. Разрабатывать программное обеспечение на C/C++. Умение грамотно излагать свои мысли в письменном виде (написание отчетов). Умение читать документацию. Взаимодействие с коллективом (командой разработчиков, аналитиков и..."
Quant Analyst / Трейдер-разработчик,https://hh.ru/vacancy/33284192?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, REVO Capital LLC,"Разработка и тестирование торговых стратегий. Разработка, внедрение и эксплуатация торговых роботов. Инструменты: акции, опционы, фьючерсы. Высшее экономическое или техническое образование. Хорошее знание Python, Matlab или R. Базовое знание C++. Системный подход, аналитический склад ума, понимание..."
Full-Stack Web-Developer / Web-Master,https://hh.ru/vacancy/33671188?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, NPBFX Limited,"...разрабатывать новый функционал. Решать многие другие задачи, связанные с веб-направлением, а также автоматизации различных процессов, мониторинга, аналитики и маркетинга. Опыт проектирования и разработки веб-приложений от 3 лет. Уверенное знание веб-технологий (HTML, CSS, JavaScript). Знание LAMP или другого..."
Frontend-разработчик,https://hh.ru/vacancy/33909664?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Смартекс,"Общение в команде: JIRA, Slack, Confluence. Подробные спецификации и макеты задач, отлаженный рабочий процесс аналитики бизнес-требований и контроля качества. Задачи и технологии. Отличное знание ES5 / ES6. Опыт работы с Vue или аналогичным фреймворком (React, Angular)."
Senior QA Engineer (мануальное тестирование),https://hh.ru/vacancy/34327098?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО СофтПро,"Работать в фича команде. Обсуждать требования с аналитиками, дизайнерами и разработчиками. Разрабатывать тест-планы и тест-кейсы. Тестировать ключевые бизнес... Опыт работы тестировщиком на коммерческих проектах не менее 4-х лет (строго не только в банковской сфере). Опыт web/API..."
Front-end Developer Vue.js,https://hh.ru/vacancy/32342494?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, YCLIENTS LLC,"Участвовать в митингах, ретроспективах и демо по Scrum. Вместе с другими разработчиками принимать технические решения, планировать процесс разработки. Отлично знает JavaScript (es.next), TypeScript. Имеет обширный опыт работы с Vue.js. Умеет качественно верстать по mobile-first. Понимает как отлаживать..."
Senior Front-end разработчик (React),https://hh.ru/vacancy/32923355?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Comagic,"UIS — бизнес-телефония для персональной работы с каждым клиентом. Телефония UIS занимает 4-ое место в Москве на рынке услуг... Отличное знание HTML, CSS, JavaScript. Плюсом будет: Знание SQL. Знание Python. Ведение разработки через тестирование (TDD). Опыт работы в Linux."
Ruby on Rails developer,https://hh.ru/vacancy/34295123?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, evrone.ru,"Не представлять себе разработку без тестов. Возможности посещения и участия в мероприятиях. ...вас хороший английский. По желанию меняем проекты, не даем стагнировать. При формировании команды проекта учитываем профессиональные или личные интересы разработчиков."
Fullstack-разработчик,https://hh.ru/vacancy/33931015?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО KTS Studio,"Создание удобных интерфейсов для преподавателей и для студентов. Создание инструментов для аналитики и маркетинга. Код-ревью, написание тестов, раскладки новых... Знания HTML, CSS, JS, React и его экосистемы. Желательны базовые знания Python, Django. Будет плюсом знание Go, Docker, Nginx."
Frontend-разработчик (React),https://hh.ru/vacancy/33628292?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО РАБЛЗ,"Разрабатывать красивый динамический Frontend для существующих продуктов кампании. Взаимодействовать с коллегами, обсуждать дизайн приложения, предлагать и внедрять технологические решения. Опыт реализации отображения контента в виде stories. Опыт работы на Python/Java. Опыт работы с PostgreSQL, Oracle, MongoDB или другими..."
Frontend-разработчик (Angular),https://hh.ru/vacancy/33628189?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО РАБЛЗ,"Разрабатывать красивый динамический Frontend для существующих продуктов кампании. Взаимодействовать с коллегами, обсуждать дизайн приложения, предлагать и внедрять технологические решения. Опыт реализации отображения контента в виде stories. Опыт работы на Python/Java. Опыт работы с PostgreSQL, Oracle, MongoDB или другими..."
Стажер/бизнес-аналитик SAP,https://hh.ru/vacancy/30325840?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, SAPRUN,Опыт внедрения/разработки/поддержки бизнес-приложений в роли стажера/аналитика/разработчика. Опыт внедрения/разработки/поддержки любых систем управления предприятием или бизнес-приложений от полугода в роли стажера/аналитика/разработчика.
Веб-аналитик,https://hh.ru/vacancy/34216283?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, BR Lab,"Настройка Firebase Analytics. Настройка сквозной аналитики. Подготовка технических заданий по размещению кодов систем аналитики для разработчиков. Проведение А/В тестов... Понимание процесса интеграции систем аналитики с другими системами: колл-трекинг, CRM и др. Знание Python (базовый уровень) будет преимуществом: Jupyter..."
DevOps engineer,https://hh.ru/vacancy/33969341?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, evrone.ru,"Внедрение инструментов автоматизации сборки, установки и релиза программного обеспечения. Внедрение инструментов мониторинга, логирования и алертинга. Автоматизация развертывания, конфигурации и обновления... Умение автоматизировать рутинные операции на одном из скриптовых языков (Bash, Python, Ruby). Основы работы и настройки веб-серверов (Ngnix)."
PHP разработчик,https://hh.ru/vacancy/33859517?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Медицинские Технологии,"Полный цикл разработки: бизнес-аналитика, проектирование, проработка дизайна, разработка, тестирование и поддержка. Требования: Разработка коммерческих серверных приложений от 5 лет. ...свободное общение и чтение технической литературы. Пожелания: Знание JS фреймворков. Опыт разработки на Go, Python. Опыт создания систем синхронизации данных."
Kotlin разработчик (backend),https://hh.ru/vacancy/33787309?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, СофтТелематика,"Пилить backend в команде на Kotlin. Разрабатывать проекты с нуля. Поддерживать и развивать текущие проекты. Отличное знание Java 7/8, Kotlin - будет большим плюсом. Опыт работы с Spring Framework, понимание концепции Inversion of Control и..."
Программист-математик,https://hh.ru/vacancy/30234738?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Связной,"...поиск аномалий, очистка от шумов, предобработка для использования в алгоритмах аналитики и принятия решений. Постановка прикладных аналитических задач и разработка... ...знания: Software Development, Data Science, Data Engineering, Event processing. Знание хотя бы двух языков программирования из R, С++, Python."
Разработчик по автоматизации бизнес-процессов,https://hh.ru/vacancy/34049942?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82," ДИКСИ, группа компаний","Написание роботизированных систем на различных языках программирования. Поиск технических решений для ""быстрой"" автоматизации процессов - разработка инструментов, алгоритмика, кодирование (программирование), описание... ...бизнес-процесса и провести аналитику для принятия решения по автоматизации. Ты готов изучать такие языки как: Python, VBA, VBS, vb.net..."
Junior Java Developer,https://hh.ru/vacancy/34234828?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Группа компаний SRG,"Участвовать в написании продуктов по оценке жилой и коммерческой недвижимости. Принимать участие в написании продуктов по аналитике рынка жилой и... Опыт работы Java разработчиком от 0,5 года или курсы по Java. Java core. Linux, опыт написания скриптов (perl, python..."
Системный администратор,https://hh.ru/vacancy/34028060?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Quantum Art,"Техническая поддержка сотрудников компании. Обслуживание офисной техники и ПК. Администрирование серверов Windows Server 2012R2/2016/2019. Знание основ сетевых технологий и сервисов (TCP/IP, DNS, DHCP). Знание языков Powershell, Bash, Python приветствуется. Знание основных офисных программ..."
Team lead / Ведущий разработчик,https://hh.ru/vacancy/34166841?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,АО АСТ,Участие в проектах в качестве архитектора и ведущего разработчика. Проектирование архитектурных решений и их документирование. Выбор используемых технологий. Дополнительным преимуществом будет: Опыт в роли разработчика или системного аналитика. Опыт участия в НИОКР. Знание ЕСПД. Знание языка SQL и...
Front-end разработчик (senior),https://hh.ru/vacancy/32344311?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, YCLIENTS LLC,"Писать качественный, легко поддерживаемый и тестируемый код в команде опытных разработчиков. Писать тесты на него. Проводить code-review вместе с... Обладает представлением об одном из высокоуровневых языков программирования: Java/C++/Python/etc (синтаксис, типы данных, особенности). Умеет качественно верстать по..."
Системный архитектор,https://hh.ru/vacancy/34247177?query=python%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Дефенс Групп,"Выбор технологического стека. Проектирование и развитие программной архитектуры продукта. Разработка документации на продуктовую архитектуру. Участие в подборе команды разработчиков. Опыт работы с брокерами сообщений (Rabbit MQ/Kafka/etc). Владение навыками программирования на одном из языков: Java, Python, Go, C++."
