Htc gratia a6380 (не побитый в отличном состоянии),1 500   ₽,Тушинская,https://www.avito.ru/moskva/telefony/htc_gratia_a6380_ne_pobityy_v_otlichnom_sostoyanii_1808231190
HTC Wildfire S/Б/У,1 350   ₽,Шипиловская,https://www.avito.ru/moskva/telefony/htc_wildfire_sbu_226393137
HTC Desire 500 dual sim,1 000   ₽,Лермонтовский проспект,https://www.avito.ru/moskva/telefony/htc_desire_500_dual_sim_1800620198
Htc на запчасти,300   ₽,Лермонтовский проспект,https://www.avito.ru/moskva/telefony/htc_na_zapchasti_1367112948
HTC Wildfire S A510e,1 500   ₽,Добрынинская,https://www.avito.ru/moskva/telefony/htc_wildfire_s_a510e_1234707264
Корпус HTC Raider 4G x710e Чёрный Оригинал,200   ₽,Римская,https://www.avito.ru/moskva/telefony/korpus_htc_raider_4g_x710e_chernyy_original_745605145
HTC One x9 dual sim,3 000   ₽,Красные ворота,https://www.avito.ru/moskva/telefony/htc_one_x9_dual_sim_1846529669
HTC U Play,5 000   ₽,Теплый стан,https://www.avito.ru/moskva/telefony/htc_u_play_1817486537
Чехол для HTC M8 цветной,150   ₽,Строгино,https://www.avito.ru/moskva/telefony/chehol_dlya_htc_m8_tsvetnoy_915468606
HTC U11 Brilliant Black / 6 / 128gb,17 000   ₽,Коньково,https://www.avito.ru/moskva/telefony/htc_u11_brilliant_black_6_128gb_1821468794
Htc,3 500   ₽,Лихоборы,https://www.avito.ru/moskva/telefony/htc_1791808099
HTC/Qtek wiza200 Новый. Аргументированный торг,1 499   ₽,Шипиловская,https://www.avito.ru/moskva/telefony/htcqtek_wiza200_novyy._argumentirovannyy_torg_1306277394
HTC mini гарнитура для телефонов HTC,800   ₽,Аэропорт,https://www.avito.ru/moskva/telefony/htc_mini_garnitura_dlya_telefonov_htc_990237967
Телефон HTC incredible S,700   ₽,Новокосино,https://www.avito.ru/moskva/telefony/telefon_htc_incredible_s_1766191478
Аккумулятор HTC Desire 500/One SV (HTC BM60100),500   ₽,Савеловская,https://www.avito.ru/moskva/telefony/akkumulyator_htc_desire_500one_sv_htc_bm60100_775634781
HTC Touch Cruise P3650,500   ₽,Савеловская,https://www.avito.ru/moskva/telefony/htc_touch_cruise_p3650_174647389
HTC one max,5 000   ₽,Планерная,https://www.avito.ru/moskva/telefony/htc_one_max_1816375419
HTC one dual sim,2 500   ₽,Отрадное,https://www.avito.ru/moskva/telefony/htc_one_dual_sim_1776677728
Смартфон HTC Desire 816 dual sim,2 000   ₽,Бибирево,https://www.avito.ru/moskva/telefony/smartfon_htc_desire_816_dual_sim_1813793779
HTC M9+,8 000   ₽,Селигерская,https://www.avito.ru/moskva/telefony/htc_m9_1774941971
HTC wimax 4G,3 000   ₽,Речной вокзал,https://www.avito.ru/moskva/telefony/htc_wimax_4g_116834094
HTC,2 500   ₽,Домодедовская,https://www.avito.ru/moskva/telefony/htc_1758250496
HTC Desire Z,1 999   ₽,Коньково,https://www.avito.ru/moskva/telefony/htc_desire_z_1105068357
"Аккумулятор HTC Mozart, HTC desire z",400   ₽,Крылатское,https://www.avito.ru/moskva/telefony/akkumulyator_htc_mozart_htc_desire_z_1819231444
HTC One M 7 в отличном состоянии,4 000   ₽,Солнцево,https://www.avito.ru/moskva/telefony/htc_one_m_7_v_otlichnom_sostoyanii_1810014417
HTC wireless charger зарядка,500   ₽,Бабушкинская,https://www.avito.ru/moskva/telefony/htc_wireless_charger_zaryadka_901246017
HTC 620G dual запчасти,1 000   ₽,Алма-Атинская,https://www.avito.ru/moskva/telefony/htc_620g_dual_zapchasti_1799607572
HTC Touch Diamond2,1 500   ₽,Планерная,https://www.avito.ru/moskva/telefony/htc_touch_diamond2_1806523209
HTC One X на запчасти,800   ₽,Чертановская,https://www.avito.ru/moskva/telefony/htc_one_x_na_zapchasti_1798255599
HTC 601,1 500   ₽,Ломоносовский проспект,https://www.avito.ru/moskva/telefony/htc_601_1523536992
Телефон HTC desire 825 dual sim,3 000   ₽,Чкаловская,https://www.avito.ru/moskva/telefony/telefon_htc_desire_825_dual_sim_1807594531
HTC M8 16Gb,3 000   ₽,Багратионовская,https://www.avito.ru/moskva/telefony/htc_m8_16gb_754493174
Htc новый,500   ₽,Братиславская,https://www.avito.ru/moskva/telefony/htc_novyy_1843237886
HTC Gratia,500   ₽,Серпуховская,https://www.avito.ru/moskva/telefony/htc_gratia_1351405804
HTC MAX 4G на запчасти,2 000   ₽, ,https://www.avito.ru/moskva_zelenograd/telefony/htc_max_4g_na_zapchasti_339167818?slocation=637640
Htc touch телефон,600   ₽,Щукинская,https://www.avito.ru/moskva/telefony/htc_touch_telefon_1557243353
Телефон HTC,2 300   ₽,Римская,https://www.avito.ru/moskva/telefony/telefon_htc_1344431830
HTC Desire 400 dual sim,1 000   ₽,Охотный ряд,https://www.avito.ru/moskva/telefony/htc_desire_400_dual_sim_1824133050
HTC,2 000   ₽,Алтуфьево,https://www.avito.ru/moskva/telefony/htc_1575795537
HTC One m9 plus,4 000   ₽,Площадь революции,https://www.avito.ru/moskva/telefony/htc_one_m9_plus_1806312956
HTC,1 000   ₽,Мичуринский проспект,https://www.avito.ru/moskva/telefony/htc_1261381160
HTC Desire HD A 9191,500   ₽,Лихоборы,https://www.avito.ru/moskva/telefony/htc_desire_hd_a_9191_1802107593
HTC Touch Diamond P3700 Rus,5 000   ₽,Проспект Вернадского,https://www.avito.ru/moskva/telefony/htc_touch_diamond_p3700_rus_1210898656
HTC Desire 526 G dual sim,2 000   ₽,Октябрьское поле,https://www.avito.ru/moskva/telefony/htc_desire_526_g_dual_sim_1811199915
HTC Desire 526G dual sim + 4 чехла,2 000   ₽,Щукинская,https://www.avito.ru/moskva/telefony/htc_desire_526g_dual_sim_4_chehla_1799134261
HTC One,4 000   ₽, ,https://www.avito.ru/moskva_zelenograd/telefony/htc_one_1808683647?slocation=637640
HTC Desire 300,1 500   ₽,Новокосино,https://www.avito.ru/moskva/telefony/htc_desire_300_1333335691
HTC,700   ₽,Соколиная гора,https://www.avito.ru/moskva/telefony/htc_1225074638
